iterationIndex,maxcut,prob,maxcutGroups,blacks,loss
236,10,"[0.22916667 0.08854167 0.18229167 0.02604167 0.21354167 0.078125
 0.15104167 0.03125   ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.28125
237,10,"[0.13020833 0.09895833 0.11458333 0.02604167 0.34895833 0.03125
 0.22395833 0.02604167]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.3743489583333333
238,10,"[0.15104167 0.08333333 0.13541667 0.06770833 0.265625   0.03645833
 0.22395833 0.03645833]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.3974609375
239,10,"[0.140625   0.15625    0.05729167 0.07291667 0.25       0.03125
 0.22395833 0.06770833]","[1, 1, 0, 0, 1, 0, 1, 0]",4,0.34505208333333337
240,10,"[0.20833333 0.125      0.09895833 0.06770833 0.140625   0.05729167
 0.24479167 0.05729167]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.39908854166666663
241,10,"[0.11979167 0.08333333 0.13541667 0.03125    0.33854167 0.046875
 0.20833333 0.03645833]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.35904947916666663
242,10,"[0.265625   0.0625     0.13020833 0.02604167 0.26041667 0.02083333
 0.20833333 0.02604167]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.4137369791666666
243,10,"[0.23958333 0.02083333 0.25520833 0.02083333 0.18229167 0.00520833
 0.21354167 0.0625    ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.20540364583333331
244,10,"[0.16145833 0.03125    0.29166667 0.04166667 0.08333333 0.02604167
 0.234375   0.13020833]","[1, 0, 1, 0, 0, 0, 1, 1]",4,0.37630208333333337
245,10,"[0.109375   0.05729167 0.34375    0.06770833 0.08333333 0.02604167
 0.22916667 0.08333333]","[0, 0, 1, 0, 0, 0, 1, 0]",2,0.35481770833333337
246,10,"[0.19791667 0.03645833 0.15104167 0.10416667 0.23958333 0.015625
 0.21354167 0.04166667]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.2584635416666667
247,10,"[0.22395833 0.015625   0.13541667 0.046875   0.34895833 0.03645833
 0.17708333 0.015625  ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.33528645833333337
248,10,"[0.14583333 0.         0.16666667 0.04166667 0.27604167 0.05208333
 0.27083333 0.046875  ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.3623046875
249,10,"[0.33854167 0.02604167 0.328125   0.0625     0.07291667 0.046875
 0.0625     0.0625    ]","[1, 0, 1, 0, 0, 0, 0, 0]",2,0.5205078125
250,10,"[0.265625   0.07291667 0.296875   0.0625     0.0625     0.09895833
 0.10416667 0.03645833]","[1, 0, 1, 0, 0, 0, 0, 0]",2,0.44270833333333337
